month,bin_left,bin_right,count,probability
11,12.267499622000003,14.019999568000003,0,0.0
11,14.019999568000003,15.772499514000003,0,0.0
11,15.772499514000003,17.524999460000004,0,0.0
11,17.524999460000004,19.277499406000004,1,0.125
11,19.277499406000004,21.029999352000004,0,0.0
11,21.029999352000004,22.782499298000005,0,0.0
11,22.782499298000005,24.534999244000005,0,0.0
11,24.534999244000005,26.287499190000005,0,0.0
11,26.287499190000005,28.039999136000006,0,0.0
11,28.039999136000006,29.792499082000006,0,0.0
11,29.792499082000006,31.544999028000007,0,0.0
11,31.544999028000007,33.29749897400001,0,0.0
11,33.29749897400001,35.04999892000001,0,0.0
12,0.0,1.7524999460000004,0,0.0
12,1.7524999460000004,3.5049998920000007,1,0.08333333333333333
12,3.5049998920000007,5.257499838000001,1,0.08333333333333333
12,5.257499838000001,7.0099997840000015,5,0.4166666666666667
12,7.0099997840000015,8.762499730000002,2,0.16666666666666666
12,8.762499730000002,10.514999676000002,1,0.08333333333333333
12,10.514999676000002,12.267499622000003,0,0.0
12,12.267499622000003,14.019999568000003,1,0.08333333333333333
12,14.019999568000003,15.772499514000003,1,0.08333333333333333
12,15.772499514000003,17.524999460000004,0,0.0
12,17.524999460000004,19.277499406000004,0,0.0
12,19.277499406000004,21.029999352000004,0,0.0
12,21.029999352000004,22.782499298000005,0,0.0
12,22.782499298000005,24.534999244000005,0,0.0
12,24.534999244000005,26.287499190000005,0,0.0
12,26.287499190000005,28.039999136000006,0,0.0
12,28.039999136000006,29.792499082000006,0,0.0
12,29.792499082000006,31.544999028000007,0,0.0
12,31.544999028000007,33.29749897400001,0,0.0
12,33.29749897400001,35.04999892000001,0,0.0
